company_name,company_description,job_title,job_url,date_posted,fit_score,location,business_signal,company_stage,total_funding,industry_vertical,outreach_angle
ARX Robotics,"German defense robotics company building autonomous systems for European defense. Products include Gereon RCS, Mithra OS, and Hector UGV. Munich Security Conference presenter. Made in Europe focus.",VP Sales,https://arx.jobs.personio.de/job/2473417,2026-01,5,"Munich, Berlin, London","Rapidly scaling, defense contracts, European sovereignty focus, aggressive hiring",Series B+,Undisclosed,Mobile robotics / Defense,"Robotics native: 5 years at DJI. Government relations experience. International scope - offices in Munich, Berlin, London, Kyiv."
ARX Robotics,"German defense robotics company building autonomous systems for European defense. Products include Gereon RCS, Mithra OS, and Hector UGV. Munich Security Conference presenter. Made in Europe focus.",Lead Key Account Manager,https://arx.jobs.personio.de/job/2439461,2026-01,4,"Munich, Berlin","Rapidly scaling, defense contracts, strategic accounts",Series B+,Undisclosed,Mobile robotics / Defense,"DJI + Apple: Strategic partnership and key account management experience at scale."
ARX Robotics,"German defense robotics company building autonomous systems for European defense. Products include Gereon RCS, Mithra OS, and Hector UGV. Munich Security Conference presenter. Made in Europe focus.",Founders Associate,https://arx.jobs.personio.de/job/2430138,2026-01,3,Munich,"Rapidly scaling, close to leadership, strategic role",Series B+,Undisclosed,Mobile robotics / Defense,"Founder credibility: VC-backed startup experience. Cross-functional leadership."
Verity,"Swiss autonomous drone company for warehouse inventory management. $32M Series B. A.P. Moller Holding investment. Autonomous inventory drones.",Monitor for GTM roles,https://verity.net/careers,2025-12,4,Zurich,"$32M Series B, scaling rapidly, warehouse automation",Series B,$32M+,Mobile robotics / Warehouse / Drones,"Robotics native: DJI drone experience. Warehouse automation knowledge."
Clutch,"AI camera for racket sports courts. App generates automated highlight reels. Building AI-powered sports technology.",Head of Growth,https://clutchapp.notion.site/Head-of-Growth,2026-01,3,Remote Full-time,"Active hiring, AI + hardware, consumer/prosumer sports tech",Early stage,Undisclosed,AI / Sports tech,"Technical-commercial bridge: AI tooling experience. Growth and marketing expertise."
ko-br,"London-based robotics AI startup automating variable warehouse operations (palletizing, kitting) with AI-powered robots. No-code solution plugs into ABB/KUKA/UR arms. Founded by Ex-Amazon/Meta ML engineer.",Chief Commercial Officer (CCO),mailto:hiring@ko-br.com,2025-04,5,London (preferred) / Europe,"Early stage, actively hiring, co-founder level equity offered",Seed/Pre-Series A,Undisclosed,Mobile robotics / Warehouse automation,"Robotics native: 4 years at DJI during hypergrowth. Technical-commercial bridge. Email with subject: CCO Rebellion"
Dexory,"Warehouse robotics and AI logistics solutions. Autonomous robots scan up to 10,000 pallet locations per hour. 150 employees across 33 nationalities. Series C just raised.",Chief of Staff,https://job-boards.eu.greenhouse.io/dexory/jobs/4693802101,2025-01,4,"Wallingford, Oxfordshire UK","Series C funded, rapidly expanding, strategic leadership role",Series C,$100M+,Mobile robotics / Warehouse automation,"Founder credibility: VC-backed startup experience. General management and cross-functional leadership."
Dexory,"Warehouse robotics and AI logistics solutions. Autonomous robots scan up to 10,000 pallet locations per hour. 150 employees across 33 nationalities. Series C just raised.",Head of Business Development - US,https://job-boards.eu.greenhouse.io/dexory/jobs/4721604101,2025-01,3,US Remote,"Series C funded, aggressive US market entry",Series C,$100M+,Mobile robotics / Warehouse automation,"DJI + Apple: Strategic partnership experience. International market expansion."
PhysicsX,"London AI company applying physics simulation and ML to engineering problems. Series B funded ($135M). Partners with Deutsche Telekom and NVIDIA.",COO (recently announced),https://www.physicsx.ai/,2025-11,4,London,"$135M Series B, expanding leadership team, deep tech AI",Series B,$135M,AI / Deep tech / Scientific computing,"Founder credibility: VC-backed startup COO/operations experience. Deep tech expertise."
Mistral AI,"Europe's leading AI company building frontier models. Open-source and enterprise AI. Major European AI player.",Business Development Manager - Tech Partners,https://jobs.lever.co/mistral,2026-01,5,Paris/London,"Leading European AI, well-funded, strategic partnerships focus",Series B+,$500M+,AI / Foundation models,"DJI + Apple: Managed $46M/year strategic partnership. Perfect for tech partnerships role."
