company_name,company_description,hq_country,job_title,job_url,location,remote_policy,role_type,fit_score,notes
Tines,Security automation workflows,Ireland,Head of Partnerships EMEA,https://www.tines.com/careers,Dublin / Remote EU,Remote,Partnerships,9,Ireland HQ - scaling partnerships across EMEA region
Framer,AI-native website builder,Netherlands,Growth Lead Europe,https://www.framer.com/careers,Amsterdam / Remote,Hybrid,GTM Leadership,8,Netherlands HQ - leading EU growth initiatives
n8n,AI workflow automation tool,Germany,Head of Strategic Partnerships,https://n8n.io/careers,Berlin / Remote EU,Remote,Partnerships,9,Germany HQ - developer-focused partnerships
Sana,AI tools for human knowledge,Sweden,VP Sales EMEA,https://www.sanalabs.com/careers,Stockholm / Remote,Hybrid,GTM Leadership,8,Sweden HQ - enterprise sales leadership
Poolside,Foundation model for coding,France,Head of Developer Relations,https://poolside.ai/careers,Paris / Remote EU,Remote,Partnerships,8,France HQ - developer ecosystem building
Supabase,Open-source backend + AI tools,US,Developer Advocate Europe,https://supabase.com/careers,London / Remote EU,Remote,Partnerships,7,Strong EU presence - developer community focus
Clay,AI prospecting and outreach,US,Strategic Partnerships Manager,https://www.clay.com/careers,Remote / Barcelona,Remote,Partnerships,9,GTM tool - partnerships with data providers
Cursor,AI coding environment,US,Head of Partnerships,https://cursor.sh/careers,Remote,Remote,Partnerships,9,Dev tool - scaling partnerships ecosystem
Linear,Product issue tracking with AI,US,Enterprise Sales Director EMEA,https://linear.app/careers,London / Remote,Remote,BD,8,Product-led company scaling enterprise
PostHog,Product analytics with AI,US,VP Sales Europe,https://posthog.com/careers,London,On-site,GTM Leadership,8,All-remote with strong EU team
Coralogix,AI observability and logging,Israel,Regional Sales Manager EMEA,https://coralogix.com/careers,Remote EU,Remote,BD,7,Israel HQ - enterprise observability sales
Modal,Serverless compute for AI apps,US,Head of Growth,https://modal.com/careers,Remote,Remote,GTM Leadership,8,Infra company - developer-led growth
LangChain,Agentic application framework,US,Strategic Partnerships Lead,https://www.langchain.com/careers,Remote / London,Remote,Partnerships,9,AI framework - key partnerships with LLM providers
Gamma,AI-native presentations and decks,US,Head of Business Development,https://gamma.app/careers,Remote,Remote,BD,7,Consumer AI - expanding enterprise motion
Fireworks,High-speed model inference,US,VP Enterprise Sales,https://fireworks.ai/careers,Remote,Remote,GTM Leadership,7,AI infrastructure - enterprise GTM
Decagon,Automated customer resolution,US,Head of Partnerships,https://decagon.ai/careers,Remote,Remote,Partnerships,8,AI customer support - integration partnerships
Neko Health,Preventative healthcare,Sweden,Country Manager Spain,https://www.nekohealth.com/careers,Barcelona,On-site,Regional,9,Sweden HQ - launching Barcelona clinic
Tide,SME banking with embedded AI,UK,Head of Partnerships,https://www.tide.co/careers,London,Hybrid,Partnerships,8,UK fintech - fintech and software partnerships
Nothing,Consumer devices with AI layer,UK,Head of Strategic Partnerships Europe,https://nothing.tech/careers,London,Hybrid,Partnerships,7,Consumer hardware - retail and carrier partnerships
Lighthouse,AI property intelligence,UK,VP Sales UK & Europe,https://lighthouse.re/careers,London,Hybrid,GTM Leadership,7,UK proptech - enterprise real estate sales
