type,company_name,company_description,industry_vertical,job_title,job_url,location,date_posted,fit_score,company_stage,GTM_maturity_signal,outreach_angle
job_posting,Anthropic,AI safety and research company developing Claude AI assistant with focus on safe and beneficial AI systems,AI,Head of Developer Partnerships,https://boards.greenhouse.io/anthropic,London / Remote,Recent,5,Growth,Scaling developer ecosystem and partnerships,DJI-Apple partnership experience building global developer programs from zero
job_posting,Scale AI,Data platform for AI enabling enterprises to build production AI with high-quality training data,AI/ML,VP Strategic Partnerships - Europe,https://scale.com/careers,London / Remote,Recent,4,Series C,Expanding European enterprise partnerships,International partnerships leader with technical GTM expertise
job_posting,Cohere,Enterprise AI platform company building large language models for business applications,AI,Head of Startup Programs - EMEA,https://cohere.com/careers,London / Remote,Recent,5,Growth,Building startup partner ecosystem in Europe,DJI-Apple partnership experience scaling startup programs internationally
job_posting,Mistral AI,Open-source AI company building state-of-the-art language models with European focus,AI,Head of Strategic Partnerships,https://mistral.ai/careers,Paris / Remote EU,Recent,5,Series B,First partnerships hire scaling global GTM,Led GTM for international expansion founder experience technical partnerships
job_posting,Skydio,American drone manufacturer building autonomous flight technology for enterprise and defense,Robotics/Drones,VP International Business Development,https://www.skydio.com/careers,Remote / US-Europe,Recent,5,Series D,Expanding international markets and partnerships,Robotics native with 10+ years at DJI understand hardware-software GTM
job_posting,Zipline,Autonomous delivery drone company operating logistics networks for healthcare and commerce,Robotics/Drones,Head of Go-to-Market - Europe,https://flyzipline.com/careers,Remote EU,Recent,5,Series C,First GTM hire for European expansion,Robotics native with 10+ years at DJI understand hardware-software GTM
job_posting,Exotec,Warehouse robotics company building autonomous mobile robots for logistics automation,Robotics,VP Strategic Partnerships,https://www.exotec.com/careers,Barcelona / Remote EU,Recent,4,Series D,Scaling partnerships with global logistics players,Robotics native with 10+ years at DJI understand hardware-software GTM
job_posting,Universal Robots,Collaborative robot (cobot) manufacturer democratizing robotics for SMEs,Robotics,Head of Partnerships - Southern Europe,https://www.universal-robots.com/careers,Barcelona / Remote,Recent,4,Public,Expanding partner ecosystem in Spain and Southern Europe,Led GTM for international expansion founder experience technical partnerships
job_posting,Hugging Face,Open-source AI platform and community building the future of machine learning,AI/ML,Head of Startup Program,https://huggingface.co/careers,Remote / Paris,Recent,5,Series C,Building developer and startup community programs,DJI-Apple partnership experience built global partnerships from zero
job_posting,Runway,AI-powered creative tools company building next-generation content creation platforms,AI/Creative Tech,VP Business Development & Partnerships,https://runwayml.com/careers,Remote / New York,Recent,4,Series C,Scaling partnerships with creative industry leaders,International partnerships leader founder experience technical GTM expertise
proactive_target,Figure AI,Humanoid robotics company building general-purpose robots for labor automation,Robotics/AI,Potential: Head of GTM or Partnerships,https://www.figure.ai/careers,Remote / US,Recent,5,Series B,Early GTM stage recently raised significant funding,Robotics native founder experience understand hardware-software GTM at scale
job_posting,Replit,AI-powered software development platform enabling collaborative coding and deployment,Developer Tools,Head of Partnerships,https://replit.com/careers,Remote,Recent,4,Series B,Scaling developer partnerships and ecosystem,DJI-Apple partnership experience building developer ecosystems
job_posting,Weights & Biases,ML platform for experiment tracking model management and collaboration for AI teams,AI/ML,VP Strategic Partnerships - EMEA,https://wandb.ai/careers,London / Remote,Recent,4,Series C,Expanding European enterprise partnerships,International partnerships leader with technical GTM expertise
proactive_target,Physical Intelligence,AI robotics company building foundation models for physical tasks and robot control,Robotics/AI,Potential: Head of Partnerships or GTM,https://www.physicalintelligence.company,Remote / US,Recent,5,Series A,Very early stage looking for GTM foundation,Ex-founder with successful exit deep GTM expertise in hardware/robotics
job_posting,Assembled,Workforce management platform for support teams using AI to optimize operations,AI/SaaS,Ex-Founder in Residence - GTM,https://www.workatastartup.com/companies/assembled,Remote / US-EU,Recent,5,Series B,Seeking ex-founder for GTM experimentation,Ex-founder with successful exit deep GTM expertise in hardware/robotics
job_posting,Lambda Labs,AI infrastructure company providing GPU cloud and workstations for machine learning,AI Infrastructure,VP Business Development,https://lambdalabs.com/careers,Remote,Recent,4,Growth,Scaling enterprise and startup customer acquisition,Led GTM for international expansion founder experience technical partnerships
job_posting,Watershed,Climate platform helping companies measure reduce and report on carbon emissions,Climate Tech/SaaS,Head of Strategic Partnerships - Europe,https://watershed.com/careers,London / Remote,Recent,3,Series B,Expanding European partnerships with enterprises,International partnerships leader with technical GTM expertise
job_posting,Latitude,AI-powered data analytics platform for consumer insights and decision intelligence,AI/Analytics,VP Go-to-Market,https://www.latitude.so/careers,Remote EU / Paris,Recent,4,Series A,First GTM hire building sales and partnerships,Led GTM for international expansion founder experience technical partnerships
proactive_target,Atomic Semi,Semiconductor startup building next-generation computing hardware for AI workloads,Deep Tech/Hardware,Potential: Head of Partnerships,https://atomic-semi.com,Remote / US,Recent,4,Seed,Very early stage recently announced seeking GTM leadership,Founder experience technical partnerships expertise in hardware GTM
job_posting,ElevenLabs,AI voice synthesis company building realistic text-to-speech and voice cloning tools,AI/Audio,VP Strategic Partnerships,https://elevenlabs.io/careers,London / Remote,Recent,4,Series B,Scaling partnerships with content creators and enterprises,International partnerships leader with technical GTM expertise
job_posting,Synthesia,AI video generation platform creating videos from text with AI avatars,AI/Video,Head of Partnerships - Enterprise,https://www.synthesia.io/careers,London,Recent,4,Series C,Scaling enterprise partnerships and integrations,Led GTM for international expansion founder experience technical partnerships
proactive_target,Hadrian,Automated precision manufacturing company building factories with robotics and AI,Deep Tech/Manufacturing,Potential: Head of Business Development,https://www.hadrian.co/careers,Remote / US,Recent,5,Series A,Building defense and aerospace partnerships,Robotics native founder experience understand hardware-software GTM
job_posting,Notion,Productivity and collaboration platform integrating AI for knowledge management,SaaS/AI,Head of Startup Programs,https://www.notion.so/careers,Remote / Europe,Recent,4,Growth,Expanding startup ecosystem and partner programs,DJI-Apple partnership experience building developer ecosystems
proactive_target,1X Technologies,Humanoid robotics company building androids for home and work automation,Robotics/AI,Potential: VP Commercial or Partnerships,https://www.1x.tech/careers,Remote / Norway,Recent,5,Series B,Early commercial stage preparing for launch,Robotics native founder experience understand hardware-software GTM at scale
job_posting,Vercel,Frontend cloud platform for deploying web applications with AI-powered tools,Developer Tools,VP Partnerships,https://vercel.com/careers,Remote,Recent,3,Growth,Scaling developer partnerships and ecosystem,DJI-Apple partnership experience building developer ecosystems
