clinic_name,website_url,city,phone,email,google_rating,google_review_count,instagram_handle,instagram_followers,has_online_booking,has_whatsapp,has_financing,mentions_implants,mentions_invisalign,mentions_carillas,has_gallery,website_quality,multi_location,num_locations,icp_score,notes
Clínica Dental Carralero en Xàtiva | Dentistas en Xàtiva,https://www.clinicadentalcarralero.com,Barcelona,648797349,info@dentalcarralero.com,0,0,@dentalcarralero,0,True,True,True,True,True,True,True,modern,True,1,100,Scraped: 2026-01-21
"Clinica maxilofacial, dental e implantología en Barcelona",https://www.birbe.org,Barcelona,+34 626 852 363,clinica@birbe.org,0,0,@clinica_birbe,0,True,True,True,True,True,True,True,modern,True,5,100,Scraped: 2026-01-21
Ull Dent | Clínica dental y medicina estética | Clínica Dental Badalona,https://www.dentistaenbadalona.com,Barcelona,986486056,info@ulldent.es,0,0,@clinica_dental_ulldent,0,True,True,True,True,True,True,True,modern,True,1,100,Scraped: 2026-01-21
Clínica dental en Tarragona | Clínica Curull dentistas,https://www.clinicacurull.com,Barcelona,864144292,info@clinicacurull.com,0,0,@clinica_curull_tarragona,0,True,True,True,True,True,True,True,modern,True,1,100,Scraped: 2026-01-21
Face Clinic España - Clínicas de Cirugía y Medicina Avanzada,https://www.faceclinic.es,Barcelona,666666666,,0,0,@faceclinicspain,0,True,True,True,True,True,True,True,modern,True,1,100,Scraped: 2026-01-21
Ull Dent | Clínica dental y medicina estética | Clínica Dental Badalona,https://www.clinicadentalbadalona.com,Barcelona,986486056,info@ulldent.es,0,0,@clinica_dental_ulldent,0,True,True,True,True,True,True,True,modern,True,1,100,Scraped: 2026-01-21
Dental Company | Dentistas Especializados,https://www.dentalcompany.es,Barcelona,986302373,,0,0,@dental_company,0,True,True,True,True,True,True,False,modern,True,1,95,Scraped: 2026-01-21
Tu dentista de confianza en Dentisalut Barcelona,https://www.dentisalut.com,Barcelona,+34930252632,,0,0,,0,True,True,True,True,True,True,True,modern,True,10,90,Scraped: 2026-01-21
Clínica dental Madrid - Dentistas Madrid - Ferrus&Bratos,https://www.clinicaferrusbratos.com,Barcelona,+34 917681812,atpcaleruega@clinicaferrusbratos.com,0,0,@clinicaferrusbratos,0,False,True,True,True,True,True,True,modern,True,1,85,Scraped: 2026-01-21
"▷ Clínicas Propdental en Barcelona, Badalona y Hospitalet",https://www.propdental.es,Barcelona,656730731,,0,0,@propdental,0,False,True,True,True,True,True,True,modern,True,20,85,Scraped: 2026-01-21
▷ Ortodoncia Barcelona | Especialistas en Ortodoncia Barcelona,https://www.ortodonciainvisiblebarcelona.com,Barcelona,934142312,,0,0,@ortodonciatrestorres,0,True,False,True,False,True,True,True,modern,True,20,85,Scraped: 2026-01-21
▷ Ortodoncia Barcelona | Especialistas en Ortodoncia Barcelona,https://www.ortodonciatrestorres.com,Barcelona,934142312,,0,0,@ortodonciatrestorres,0,True,False,True,False,True,True,True,modern,True,20,85,Scraped: 2026-01-21
Clinica dental del bruc,https://www.dentalbruc.com,Barcelona,929 333 958,clinica@dentalbruc.com,0,0,@clinicadentaldelbruc,0,True,True,False,True,True,True,False,modern,True,1,85,Scraped: 2026-01-21
Clínica Dental Terrassa Dr. Montané - Dentista Terrassa,https://www.clinicadentalterrassa.es,Barcelona,937337866,info@clinicadentalmontane.com,0,0,@clinicadentalmontane,0,True,False,False,True,True,True,False,modern,True,2,80,Scraped: 2026-01-21
