entry_type,company_name,company_description,industry_vertical,job_title,job_url,date_posted,date_identified,fit_score,location,company_stage,total_funding,employee_count,gtm_signal,signal_evidence,why_now,contact_target,outreach_angle
job_posting,Scaled Robotics,AI-powered construction progress tracking and quality control using autonomous robots,robotics,Head of Commercial,https://scaledrobotics.com/careers,2025-01-15,2026-01-23,5,Barcelona,series_b,$25M,45,hiring_gtm_leadership,First commercial leadership role; international expansion planned; hardware+software platform,Series B closed Oct 2024; expanding from Spain to UK/Germany,CEO Stuart Maggs,robotics_native + international + technical_commercial_bridge
job_posting,Micropsi Industries,AI-powered robot control system for industrial automation (no programming required),robotics,VP Business Development,https://micropsi-industries.com/careers,2025-01-10,2026-01-23,5,London/Remote,series_b,$30M,65,hiring_gtm_leadership,Scaling enterprise sales team; mentions experience with Asian markets as plus,Expanding from Germany to UK/US; Series B June 2024,CEO Ronnie Vuine,robotics_native + international + DJI_Apple
job_posting,Gather AI,Autonomous drone-based warehouse inventory management,drones,Head of Strategic Partnerships,https://gatherai.com/careers,2025-01-12,2026-01-23,5,Remote (EU hours),series_b,$37M,80,hiring_gtm_leadership,European expansion lead; mentions drone/robotics experience; enterprise partnerships focus,Opening European HQ in Q1 2025; Series B Sept 2024,CEO Dan Pates,robotics_native + DJI + international
proactive_target,Exwayz,3D perception AI for autonomous robots and vehicles,robotics,,https://exwayz.com/careers,,2026-01-23,4,Paris/Remote,series_a,$12M,30,hiring_junior_gtm,2 Account Executive roles + 1 SDR posted; no VP Sales or Head of GTM visible on LinkedIn,Raised Series A Nov 2024 from Speedinvest; expanding beyond France to Germany/UK,CEO via Speedinvest intro (portfolio connection),founder_credibility + robotics_native + international
proactive_target,Wandelbots,No-code robot programming platform for industrial automation,robotics,,https://wandelbots.com/careers,,2026-01-23,5,Dresden/Remote,series_b,$84M,150,building_team,"5 GTM roles posted (3 AE, 2 SDR) but no CCO/CRO; CEO recently posted about scaling commercial team",Series B raised 2023; aggressive US expansion planned for 2025; developer community growing,CEO Christian Piechnick (active on LinkedIn about GTM challenges),robotics_native + technical_commercial_bridge + international
job_posting,Isometric,Carbon removal marketplace and measurement infrastructure,climate_tech,Head of Growth,https://isometric.com/careers,2025-01-08,2026-01-23,4,London/Remote,series_a,$22M,35,hiring_gtm_leadership,First growth hire; build GTM from scratch; technical market with enterprise buyers,Series A Dec 2024; expanding from UK to EU/US,CEO Nat Bullard,founder_credibility + technical_commercial_bridge
proactive_target,Aleph Alpha,European sovereign AI platform for enterprise and government,ai,,https://aleph-alpha.com/careers,,2026-01-23,4,Heidelberg/Remote,series_b,$130M,180,building_team,Multiple enterprise AE roles across EU; Marketing Manager posted; no CRO visible,Series B+ Nov 2023; government partnerships expanding; competing with OpenAI in EU market,CEO Jonas Andrulis (via investor intro - Balderton/Lakestar),technical_commercial_bridge + international + founder_credibility
job_posting,Synthesia,AI video generation platform for enterprise training and marketing,ai,VP Strategic Partnerships,https://synthesia.io/careers,2025-01-14,2026-01-23,4,London,series_c,$156M,250,hiring_gtm_leadership,Enterprise partnerships focus; scale existing BD team; mentions international experience,Series C June 2024; unicorn valuation; aggressive enterprise expansion,CEO Victor Riparbelli,DJI_Apple + international + technical_commercial_bridge
proactive_target,Opteran,Bio-inspired AI for autonomous robots (based on insect brains),robotics,,https://opteran.com/careers,,2026-01-23,5,Sheffield/London/Remote,series_b,$28M,55,just_funded_no_leader,Series B closed Aug 2024; 1 Business Development Manager role posted; no VP/Head level GTM exec,Recent Series B; tech ready for commercial deployment; need to build GTM function,CEO David Rajan (via Air Street Capital intro),robotics_native + founder_credibility + technical_commercial_bridge
job_posting,Oxford Ionics,Quantum computing hardware with trapped-ion technology,deep_tech,Chief Commercial Officer,https://oxfordionics.com/careers,2025-01-11,2026-01-23,3,Oxford/London,series_b,$43M,70,hiring_gtm_leadership,First commercial leader; enterprise/government sales focus; deep tech sales experience required,Series B Oct 2024; transitioning from R&D to commercial phase,CEO Chris Ballance,technical_commercial_bridge + founder_credibility
proactive_target,Helsing,AI for defense and security applications,ai,,https://helsing.ai/careers,,2026-01-23,3,Munich/London/Remote,series_b,$223M,180,building_team,Multiple government relations and partnerships roles; no CCO/CRO posted,Series B Jul 2024; expanding UK presence; government contracts scaling,CEO Gundbert Scherf (via Accel intro),international + technical_commercial_bridge
job_posting,Wayve,End-to-end AI for autonomous driving (embodied AI approach),ai,Head of Business Development,https://wayve.ai/careers,2025-01-09,2026-01-23,4,London,series_c,$1.05B,280,hiring_gtm_leadership,OEM partnerships focus; automotive industry experience preferred; international scope,Series C May 2024 (SoftBank led); scaling partnerships with automakers globally,CEO Alex Kendall,DJI_Apple + international + technical_commercial_bridge
proactive_target,Monumo,AI-powered inspection robots for infrastructure and energy,robotics,,https://monumo.com/careers,,2026-01-23,4,Barcelona/Remote,series_a,$8M,28,hiring_junior_gtm,1 Sales Manager role posted; no Head of Sales or VP Commercial visible,Series A closed Q4 2024; pilot projects converting to contracts; need GTM leadership,"CEO Albert Garcia (Barcelona-based, local connection opportunity)",robotics_native + founder_credibility + international
job_posting,Zapata AI,Enterprise AI for industrial generative AI applications,ai,VP Go-to-Market,https://zapata.ai/careers,2025-01-13,2026-01-23,3,Remote (EU/US),series_b,$68M,95,hiring_gtm_leadership,Full GTM ownership; build sales & marketing teams; enterprise AI sales,Pivoting from quantum to generative AI; Series B 2023; need GTM reset,CEO Christopher Savoie,founder_credibility + technical_commercial_bridge
proactive_target,Greenzie,Autonomous lawn care robots for commercial landscaping,robotics,,https://greenzie.com/careers,,2026-01-23,4,Remote/Atlanta (considering EU expansion),series_a,$16M,42,expanding_market,CEO announced European expansion plans Q1 2025; no EU commercial lead hired yet,Series A Jan 2024; planning EU launch; need European GTM leader,CEO Charles Brian Quinn (mentioned seeking EU partnerships on LinkedIn),robotics_native + international + DJI
job_posting,Incident.io,Incident management platform for engineering teams and DevOps,devtools,Head of Strategic Partnerships,https://incident.io/careers,2025-01-16,2026-01-23,4,London,series_b,$48M,85,hiring_gtm_leadership,Building partnerships function from zero; developer tools experience required,Series B Nov 2024; expanding UK to US/EU; product-led growth scaling to enterprise,CEO Stephen Whitworth,technical_commercial_bridge + founder_credibility
proactive_target,Poolside,AI coding assistant for developers (GitHub Copilot competitor),ai,,https://poolside.ai/careers,,2026-01-23,4,Paris/US/Remote,series_b,$126M,60,just_funded_no_leader,Series B Sept 2024; hiring engineers/product but no GTM leader posted yet,Massive Series B from Felicis/Redpoint; competing with GitHub; needs enterprise GTM,CEO Eiso Kant (via Felicis intro),technical_commercial_bridge + founder_credibility + international
job_posting,Neon,Serverless Postgres database platform for modern developers,devtools,VP Business Development,https://neon.tech/careers,2025-01-17,2026-01-23,4,Remote (EU/US),series_b,$104M,95,hiring_gtm_leadership,Scaling partnerships with cloud providers and dev tool ecosystem,Series B Aug 2024; competing with AWS Aurora; strategic partnerships critical,CEO Nikita Shamgunov,technical_commercial_bridge + dji_apple + international
job_posting,Warp,AI-native terminal for developers with collaboration features,devtools,Head of Growth,https://warp.dev/careers,2025-01-18,2026-01-23,4,Remote (US/EU),series_b,$73M,60,hiring_gtm_leadership,First growth hire; PLG to sales-assisted motion; enterprise tier launching,Series B Apr 2024; 1M+ developers using product; entering monetization phase,CEO Zach Lloyd,technical_commercial_bridge + founder_credibility
job_posting,Locus Robotics,Autonomous mobile robots (AMR) for warehouse fulfillment and logistics,robotics,VP Strategic Partnerships - EMEA,https://locusrobotics.com/careers,2025-01-19,2026-01-23,4,London/Remote,series_f,$500M+,600,hiring_gtm_leadership,EMEA expansion; integrator partnerships focus; robotics industry experience required,Series F Feb 2024; European market underserved; competing with Amazon Robotics,EVP Sales EMEA,robotics_native + dji_apple + international
