clinic_name,website_url,city,phone,email,google_rating,google_review_count,instagram_handle,instagram_followers,has_online_booking,has_whatsapp,has_financing,mentions_implants,mentions_invisalign,mentions_carillas,has_gallery,website_quality,multi_location,icp_score,notes
Tu dentista de confianza en Dentisalut Barcelona,https://www.dentisalut.com,Barcelona,,,0,0,,0,True,True,True,True,True,True,True,modern,True,90,Scraped: 2026-01-21
Clínica dental Madrid,https://www.clinicaferrusbratos.com,Barcelona,,atpcaleruega@clinicaferrusbratos.com,0,0,@clinicaferrusbratos,0,False,True,True,True,True,True,True,modern,True,80,Scraped: 2026-01-21
"▷ Clínicas Propdental en Barcelona, Badalona y Hospitalet",https://www.propdental.es,Barcelona,,,0,0,@propdental,0,False,True,True,True,True,True,False,modern,True,75,Scraped: 2026-01-21
Clínica Dental Carralero en Xàtiva,https://www.clinicadentalcarralero.com,Barcelona,,info@dentalcarralero.com,0,0,@dentalcarralero,0,True,True,False,True,True,True,True,modern,False,75,Scraped: 2026-01-21
"Clinica maxilofacial, dental e implantología en Barcelona",https://www.birbe.org,Barcelona,+34 626 852 363,clinica@birbe.org,0,0,@clinica_birbe,0,False,True,True,True,True,True,True,modern,False,70,Scraped: 2026-01-21
"Clínicas Santident. Clínica Dental Picanya, Cheste y Paterna",https://www.santident.com,Barcelona,961 084 636,info@santident.com,0,0,@santident.dental,0,False,True,False,True,True,True,True,modern,True,70,Scraped: 2026-01-21
Ull Dent,https://www.dentistaenbadalona.com,Barcelona,933 955 385,info@ulldent.es,0,0,@clinica_dental_ulldent,0,True,True,True,True,False,True,True,modern,False,70,Scraped: 2026-01-21
Clínica Dental Terrassa Dr. Montané,https://www.clinicadentalterrassa.es,Barcelona,,info@clinicadentalmontane.com,0,0,@clinicadentalmontane,0,True,True,False,True,True,True,False,modern,False,70,Scraped: 2026-01-21
Clínica Dental Terrassa Dr. Montané,https://www.terrassadental.com,Barcelona,,info@clinicadentalmontane.com,0,0,@clinicadentalmontane,0,True,True,False,True,True,True,False,modern,False,70,Scraped: 2026-01-21
Clínica dental en Castellbisbal – Tu dentista de confianza en Castellbisbal,https://www.artdental.es,Barcelona,,info@art-dental.cat,0,0,@artdentalcastellbisbal,0,False,True,True,True,True,True,False,modern,False,65,Scraped: 2026-01-21
Inicio,https://www.clinicadentalmataro.com,Barcelona,937 574 394,info@clinicadentalmataro.com,0,0,@clinicadentalmataro,0,False,True,True,True,True,True,False,modern,False,65,Scraped: 2026-01-21
Principal Página,https://www.clinicadentalbarceloneta.com,Barcelona,+34 691 040 892,info@clinicadentalbarceloneta.com,0,0,@clinica_dental_barceloneta,0,False,True,False,True,True,True,True,modern,False,60,Scraped: 2026-01-21
Estudi Dental Barcelona,https://www.estudidentalbarcelona.com,Barcelona,,info@estudidentalbarcelona.com,0,0,@estudidentalbarcelona,0,False,True,False,True,True,True,True,modern,False,60,Scraped: 2026-01-21
Dental Company,https://www.dentalcompany.es,Barcelona,900 926 900,,0,0,@dental_company,0,False,True,True,True,False,True,False,modern,True,60,Scraped: 2026-01-21
Contacto por WhatsApp,https://www.dentalmar.es,Barcelona,,dentalmararenys@gmail.com,0,0,@dentalmararenys,0,False,True,False,True,True,True,True,modern,False,60,Scraped: 2026-01-21
